priority,target_id,family,failure_type,probability,probe_name,probe_instruction,expected_feature,phase
1,aria2_non_vulnerable,aria2,false_positive,0.3261,aria2_version_probe,detect product/version from headers/body/tool output,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
2,aria2_non_vulnerable,aria2,false_positive,0.3261,aria2_auth_probe,check whether sensitive endpoint requires auth,auth_required/no_auth_required,targeted_precondition_precheck
3,aria2_non_vulnerable,aria2,false_positive,0.3261,aria2_endpoint_probe,check expected exploit endpoint exists,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
4,couchdb_non_vulnerable,couchdb,false_positive,0.5001,couchdb_root_info,curl / and parse CouchDB version,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
5,couchdb_non_vulnerable,couchdb,false_positive,0.5001,couchdb_admin_party,curl /_users and /_config behavior,admin_party_enabled/auth_required,targeted_precondition_precheck
6,couchdb_non_vulnerable,couchdb,false_positive,0.5001,couchdb_config_access,curl safe config endpoint,config_accessible/config_blocked,targeted_precondition_precheck
7,couchdb_v3_non_vulnerable,couchdb,false_positive,0.3297,couchdb_root_info,curl / and parse CouchDB version,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
8,couchdb_v3_non_vulnerable,couchdb,false_positive,0.3297,couchdb_admin_party,curl /_users and /_config behavior,admin_party_enabled/auth_required,targeted_precondition_precheck
9,couchdb_v3_non_vulnerable,couchdb,false_positive,0.3297,couchdb_config_access,curl safe config endpoint,config_accessible/config_blocked,targeted_precondition_precheck
10,elasticsearch_non_vulnerable,elasticsearch,false_positive,0.8863,es_version,curl / and parse version,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
11,elasticsearch_non_vulnerable,elasticsearch,false_positive,0.8863,es_script_behavior,safe script/painless capability check,painless_sandbox_blocks/script_enabled,targeted_precondition_precheck
12,elasticsearch_non_vulnerable,elasticsearch,false_positive,0.8863,es_auth_behavior,curl /_cluster/health,auth_required/no_auth_required,targeted_precondition_precheck
13,generic_php_non_vulnerable,generic,false_positive,0.2666,generic_version_probe,detect product/version from headers/body/tool output,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
14,generic_php_non_vulnerable,generic,false_positive,0.2666,generic_auth_probe,check whether sensitive endpoint requires auth,auth_required/no_auth_required,targeted_precondition_precheck
15,generic_php_non_vulnerable,generic,false_positive,0.2666,generic_endpoint_probe,check expected exploit endpoint exists,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
16,grafana_non_vulnerable,grafana,false_positive,0.7892,grafana_health_version,curl /api/health,grafana_version_detected/version_patched,targeted_precondition_precheck
17,grafana_non_vulnerable,grafana,false_positive,0.7892,grafana_traversal_probe,safe path traversal read attempt with timeout,path_traversal_blocked/path_traversal_possible,targeted_precondition_precheck
18,grafana_non_vulnerable,grafana,false_positive,0.7892,grafana_auth_behavior,curl /login and /api/user,auth_required/no_auth_required,targeted_precondition_precheck
19,grafana_v9_non_vulnerable,grafana,false_positive,0.7892,grafana_health_version,curl /api/health,grafana_version_detected/version_patched,targeted_precondition_precheck
20,grafana_v9_non_vulnerable,grafana,false_positive,0.7892,grafana_traversal_probe,safe path traversal read attempt with timeout,path_traversal_blocked/path_traversal_possible,targeted_precondition_precheck
21,grafana_v9_non_vulnerable,grafana,false_positive,0.7892,grafana_auth_behavior,curl /login and /api/user,auth_required/no_auth_required,targeted_precondition_precheck
22,jenkins_non_vulnerable,jenkins,false_positive,0.5138,jenkins_version,curl headers and /api/json,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
23,jenkins_non_vulnerable,jenkins,false_positive,0.5138,jenkins_cli_or_script,curl CLI/script endpoints without auth bypass,endpoint_reachable_count/auth_required,targeted_precondition_precheck
24,jenkins_non_vulnerable,jenkins,false_positive,0.5138,jenkins_auth_behavior,curl /login /whoAmI,auth_required/no_auth_required,targeted_precondition_precheck
25,jetty_non_vulnerable,generic,false_positive,0.2679,generic_version_probe,detect product/version from headers/body/tool output,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
26,jetty_non_vulnerable,generic,false_positive,0.2679,generic_auth_probe,check whether sensitive endpoint requires auth,auth_required/no_auth_required,targeted_precondition_precheck
27,jetty_non_vulnerable,generic,false_positive,0.2679,generic_endpoint_probe,check expected exploit endpoint exists,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
